date, description, maxDrawdown, maxDrawdownDuration, maxProfit, maxProfitDuration, numOfLosses, positionDuration, runningPnL, totalLossPnL, totalTrades, totalWinPnL,numOfWins
8/7/2001,Breakdown,-1500,11595,3200,832,1,11597,-1419.1088,-1419.1088,1,0,0
8/8/2001,BreakdownCounterTrend,-150,760,3800,2428,0,4563,2080.8752,0,1,2080.8752,1
8/9/2001,Breakdown,-850,14036,3650,11349,1,14076,-618.6464,-618.6464,1,0,0
8/10/2001,BreakdownCounterTrend,-1850,1967,750,622,1,1994,-1618.7168,-1618.7168,1,0,0
8/10/2001,Breakdown,-2550,827,0,0,1,854,-2318.7056,-2318.7056,1,0,0
8/13/2001,Breakdown,-1850,2326,1050,1549,1,2333,-1768.6168,-1768.6168,1,0,0
8/14/2001,Breakup,-1300,1533,3250,2172,1,6192,412.0904,-868.9096,2,1281,1
8/15/2001,Breakup,-2900,11052,900,879,1,11061,-2719.0224,-2719.0224,1,0,0
8/16/2001,BreakdownCounterTrend,-1400,1826,700,164,1,1837,-1319.2112,-1319.2112,1,0,0
8/16/2001,Breakdown,-350,910,9250,2913,0,2924,8930.9784,0,1,8930.9784,1
8/17/2001,Breakdown,-3450,1099,900,26,1,1099,-3318.6608,-3318.6608,1,0,0
8/20/2001,Breakdown,-2350,304,2050,9889,0,13565,481.7904,0,1,481.7904,1
8/22/2001,BreakdownCounterTrend,-850,704,8650,11823,0,13733,6582.0128,0,1,6582.0128,1
8/22/2001,Breakup,-1450,2192,1550,1258,1,3178,-1268.116,-1268.116,1,0,0
8/24/2001,BreakdownCounterTrend,-1800,943,850,337,1,945,-1717.792,-1717.792,1,0,0
8/24/2001,Breakup,-2100,2420,600,561,1,2467,-1717.7968,-1717.7968,1,0,0
8/27/2001,BreakdownCounterTrend,-1600,14127,3400,11470,1,14132,-1468.06,-1468.06,1,0,0
8/27/2001,Breakdown,-1600,14127,3400,11470,1,14132,-1468.06,-1468.06,1,0,0
8/27/2001,Breakup,-1750,995,150,7,1,1776,-818.0704,-818.0704,1,0,0
8/28/2001,Breakup,-1050,97,13050,16948,0,17257,11732.0248,0,1,11732.0248,1
8/29/2001,Breakup,-2050,398,100,68,1,418,-1967.9688,-1967.9688,1,0,0
8/30/2001,BreakdownCounterTrend,-850,271,600,33,1,290,-718.104,-718.104,1,0,0
8/30/2001,Breakup,-1350,384,6050,3000,0,4253,3431.9624,0,1,3431.9624,1
8/31/2001,Breakdown,-300,2,7500,465,0,1765,6082.2848,0,1,6082.2848,1
8/31/2001,Breakup,-4650,10677,2550,769,1,12684,-3985.7832,-4017.8912,2,32.108,1
9/3/2001,BreakdownCounterTrend,-2600,11653,4900,1718,1,11655,-2517.6368,-2517.6368,1,0,0
9/4/2001,Breakup,-1600,208,1150,706,1,981,-167.9048,-167.9048,1,0,0
9/5/2001,Breakdown,-2200,1576,1500,113,1,1593,-2117.4544,-2117.4544,1,0,0
9/5/2001,Breakup,-4150,1330,2000,462,1,1686,-2434.9536,-3467.4424,2,1032.4888,1
9/6/2001,Breakdown,-100,0,0,0,1,2,-217.128,-217.128,1,0,0
9/6/2001,Breakup,-2850,885,300,163,1,893,-2767.3352,-2767.3352,1,0,0
9/7/2001,BreakdownCounterTrend,-4100,9967,4350,3595,1,13201,-883.3752,-2916.7232,2,2033.348,1
9/7/2001,Breakdown,-1950,539,300,11,1,544,-1916.5888,-1916.5888,1,0,0
9/10/2001,Breakdown,-3650,3964,2750,1875,1,4542,-2616.4976,-2616.4976,1,0,0
9/11/2001,Breakup,-700,1553,3050,2528,0,2840,2183.3984,0,1,2183.3984,1
9/12/2001,Breakdown,-100,0,12400,666,0,2639,6485.0512,0,1,6485.0512,1
9/12/2001,Breakup,-2050,432,150,48,1,453,-1915.4672,-1915.4672,1,0,0
9/13/2001,BreakdownCounterTrend,-2850,1589,300,1112,1,1673,-2365.3304,-2365.3304,1,0,0
9/13/2001,Breakup,-2800,955,4750,4662,1,15315,-1715.3296,-1715.3296,1,0,0
9/17/2001,Breakup,-5750,2723,6100,2830,2,5214,-2294.7,-4629.7488,3,2335.0488,1
9/18/2001,Breakdown,-100,0,12850,2177,0,4537,7885,0,1,7885,1
9/19/2001,Breakdown,-5000,5818,900,629,1,13173,-3765.0728,-3765.0728,1,0,0
9/20/2001,BreakdownCounterTrend,-1200,1576,1400,838,1,1586,-1064.8696,-1064.8696,1,0,0
9/21/2001,BreakdownCounterTrend,-250,10,2500,342,0,349,1985.7552,0,1,1985.7552,1
9/21/2001,Breakdown,-2000,1894,0,0,1,1925,-1814.2928,-1814.2928,1,0,0
9/24/2001,Breakup,-400,21,1400,373,0,417,1035.244,0,1,1035.244,1
9/25/2001,Breakdown,-2450,740,1000,48,1,3283,-114.6752,-114.6752,1,0,0
9/26/2001,Breakup,-400,0,1450,921,0,1092,334.9896,0,1,334.9896,1
9/27/2001,Breakup,-950,94,400,225,1,298,-465.308,-465.308,1,0,0
9/28/2001,BreakdownCounterTrend,-3100,11240,1650,9735,1,11241,-3015.6768,-3015.6768,1,0,0
9/28/2001,Breakup,-2900,10250,9000,1884,1,12576,2118.5688,-2465.6424,2,4584.2112,1
10/3/2001,BreakdownCounterTrend,-1000,2233,4650,4244,0,4550,4234.0712,0,1,4234.0712,1
10/3/2001,Breakdown,-950,139,1250,318,0,624,834.1256,0,1,834.1256,1
10/4/2001,BreakdownCounterTrend,-1050,1442,650,104,1,1769,-766.3928,-766.3928,1,0,0
10/4/2001,Breakup,-950,215,3050,10863,0,15326,1483.6256,0,1,1483.6256,1
10/5/2001,Breakdown,-3150,1799,0,0,1,1803,-3066.2248,-3066.2248,1,0,0
10/5/2001,Breakup,-100,0,6450,681,0,1326,2883.6336,0,1,2883.6336,1
10/8/2001,BreakdownCounterTrend,-550,191,300,309,1,384,-215.904,-215.904,1,0,0
10/9/2001,BreakdownCounterTrend,-1850,1862,1550,785,1,2265,-766.4936,-766.4936,1,0,0
10/9/2001,Breakup,-1100,703,5100,3768,0,13229,1733.54,0,1,1733.54,1
10/10/2001,Breakdown,-2800,462,0,0,1,1576,-2716.344,-2716.344,1,0,0
10/10/2001,Breakup,-3300,9511,500,338,1,9515,-3216.3584,-3216.3584,1,0,0
10/11/2001,Breakup,-2050,3798,1800,1801,1,3799,-1766.9752,-1766.9752,1,0,0
10/15/2001,Breakdown,-600,211,4500,12592,0,13986,2383.7376,0,1,2383.7376,1
10/16/2001,Breakdown,-1600,365,0,0,1,366,-1466.228,-1466.228,1,0,0
10/18/2001,Breakdown,-1450,912,4400,10142,0,13476,534.18,0,1,534.18,1
10/18/2001,Breakup,-2350,549,300,27,1,557,-1915.9216,-1915.9216,1,0,0
10/19/2001,BreakdownCounterTrend,-500,56,6250,12187,0,14069,4534.2328,0,1,4534.2328,1
10/19/2001,Breakdown,-100,0,3150,588,0,2470,1434.2824,0,1,1434.2824,1
10/19/2001,Breakup,-1250,2580,1050,122,1,2604,-965.86,-965.86,1,0,0
10/22/2001,Breakdown,-2250,3060,1250,267,1,14014,-2165.6952,-2165.6952,1,0,0
10/23/2001,Breakup,-1150,503,1550,969,0,1087,1133.6696,0,1,1133.6696,1
10/24/2001,BreakdownCounterTrend,-1950,3634,2100,999,1,4537,-516.3728,-516.3728,1,0,0
10/24/2001,Breakdown,-3900,1380,0,0,1,2283,-2466.3416,-2466.3416,1,0,0
10/26/2001,BreakdownCounterTrend,-1250,1170,850,151,1,1853,-116.7072,-116.7072,1,0,0
10/26/2001,Breakup,-2350,1363,0,0,1,1364,-2266.7432,-2266.7432,1,0,0
10/29/2001,Breakup,-300,281,2800,3725,0,3977,2533.78,0,1,2533.78,1
10/30/2001,Breakup,-1200,658,9600,13007,0,17425,4733.9608,0,1,4733.9608,1
11/1/2001,Breakdown,-2700,3708,450,2403,1,3826,-1816.2416,-1816.2416,1,0,0
11/2/2001,Breakdown,-1200,557,7100,11252,0,13910,3283.712,0,1,3283.712,1
11/2/2001,Breakup,-7500,2700,0,0,1,9927,-7416.2896,-7416.2896,1,0,0
11/5/2001,Breakdown,-3200,634,500,3352,1,14095,-3066.3304,-3066.3304,1,0,0
11/6/2001,BreakdownCounterTrend,-400,0,11000,3054,0,4223,8633.3256,0,1,8633.3256,1
11/6/2001,Breakdown,-400,0,11000,3054,0,4223,8633.3256,0,1,8633.3256,1
11/8/2001,BreakdownCounterTrend,-1050,1487,2450,718,0,4291,483.0816,0,1,483.0816,1
11/9/2001,BreakdownCounterTrend,-2200,1419,1000,740,1,2957,-717.016,-717.016,1,0,0
11/13/2001,Breakdown,-1600,689,900,962,1,1929,-1516.8208,-1516.8208,1,0,0
11/14/2001,BreakdownCounterTrend,-1750,2373,1500,413,1,2374,-1667.4264,-1667.4264,1,0,0
11/14/2001,Breakup,-1450,13299,850,45,1,13299,-1267.4152,-1267.4152,1,0,0
11/15/2001,Breakup,-1500,2125,450,1735,1,2127,-1618.0224,-1618.0224,1,0,0
11/19/2001,Breakdown,-1200,1637,950,360,1,1668,-1118.136,-1118.136,1,0,0
11/20/2001,BreakdownCounterTrend,-300,21,12500,13273,0,14826,8381.8816,0,1,8381.8816,1
11/26/2001,Breakdown,-2600,14650,5550,3187,1,15891,-468.268,-468.268,1,0,0
11/28/2001,Breakdown,-2850,3237,4150,3848,1,6353,-285.612,-1567.876,2,1282.264,1
11/29/2001,BreakdownCounterTrend,-200,0,1450,695,0,1979,382.2688,0,1,382.2688,1
11/30/2001,BreakdownCounterTrend,-700,477,2900,1980,0,4255,1631.8616,0,1,1631.8616,1
11/30/2001,Breakup,-450,63,4400,890,0,11866,731.8648,0,1,731.8648,1
12/3/2001,BreakdownCounterTrend,-1550,10014,1650,473,1,10014,-1417.7392,-1417.7392,1,0,0
12/3/2001,Breakup,-3700,2715,1150,3403,1,4473,-1335.5056,-1867.7336,2,532.228,1
12/4/2001,Breakup,-1250,491,1350,2203,0,2228,1031.7432,0,1,1031.7432,1
12/5/2001,BreakdownCounterTrend,-1150,520,500,87,1,1048,-968.6952,-968.6952,1,0,0
12/5/2001,Breakup,-350,13061,3550,9485,0,13124,131.3224,0,1,131.3224,1
12/6/2001,Breakdown,-1300,3,6850,11213,0,13366,1731.1368,0,1,1731.1368,1
12/7/2001,BreakdownCounterTrend,-2500,1004,600,434,1,1009,-2418.8832,-2418.8832,1,0,0
12/7/2001,Breakup,-2850,11440,3950,4162,1,14759,-1137.7888,-1168.8648,2,31.076,1
12/10/2001,Breakdown,-2150,1157,50,12,1,1166,-2068.8024,-2068.8024,1,0,0
12/11/2001,Breakup,-1050,2451,3400,524,0,17016,881.2544,0,1,881.2544,1
12/12/2001,Breakup,-350,39,11000,14152,0,14871,9931.22,0,1,9931.22,1
12/13/2001,Breakdown,-1950,371,13650,15374,0,16973,12681.3536,0,1,12681.3536,1
12/14/2001,Breakdown,-3050,9808,450,135,1,9810,-2968.2296,-2968.2296,1,0,0
12/14/2001,Breakup,-1900,4,2450,1016,1,2375,-1168.3752,-1168.3752,1,0,0
12/17/2001,Breakup,-3350,355,0,0,1,366,-3218.48,-3218.48,1,0,0
12/19/2001,BreakdownCounterTrend,-1000,2772,1600,1481,1,13062,-918.5184,-918.5184,1,0,0
12/19/2001,Breakup,-2350,782,0,0,1,847,-2268.5432,-2268.5432,1,0,0
12/20/2001,BreakdownCounterTrend,-4550,9694,1250,319,1,11126,-4187.0296,-4218.4496,2,31.42,1
12/20/2001,Breakup,-1200,903,7250,12722,0,13674,4831.4984,0,1,4831.4984,1
12/28/2001,BreakdownCounterTrend,-2100,10358,2250,506,1,10361,-2018.3168,-2018.3168,1,0,0
12/28/2001,Breakup,-1750,571,0,0,1,572,-1468.308,-1468.308,1,0,0
1/3/2002,BreakdownCounterTrend,-1600,953,300,49,1,2614,-1518.2448,-1518.2448,1,0,0
1/3/2002,Breakup,-1850,13660,1550,3295,1,13681,-1568.2456,-1568.2456,1,0,0
1/4/2002,BreakdownCounterTrend,-400,155,100,696,1,1424,-218.752,-218.752,1,0,0
