PnL,year,month,cumulative,PnL ratio
21343.7856,2008,2,626570.8896,0.034064439
79743.536,2008,3,647914.6752,0.123077218
-9280.1176,2008,4,727658.2112,-0.012753402
8083.3336,2008,5,718378.0936,0.011252199
-9805.2472,2008,6,726461.4272,-0.013497272
-22065.632,2008,7,716656.18,-0.030789704
59037.4224,2008,8,694590.548,0.084996006
-17799.54,2008,9,753627.9704,-0.023618471
54018.6456,2008,10,735828.4304,0.073412012
34968.748,2008,11,789847.076,0.044272808
10561.6288,2008,12,824815.824,0.012804833
60407.2264,2009,1,835377.4528,0.072311296
15864.4344,2009,2,895784.6792,0.017710098
-1457.516,2009,3,911649.1136,-0.001598769
42554.1624,2009,4,910191.5976,0.046752972
23645.8928,2009,5,952745.76,0.024818681
46324.8824,2009,6,976391.6528,0.04744498
44773.9544,2009,7,1022716.535,0.043779437
-57596.852,2009,8,1067490.49,-0.053955377
-10004.664,2009,9,1009893.638,-0.009906651
-27555.1144,2009,10,999888.9736,-0.027558174
43653.2112,2009,11,972333.8592,0.044895291
32698.856,2009,12,1015987.07,0.032184323
5734.8216,2010,1,1048685.926,0.005468579
32877.5528,2010,2,1054420.748,0.031180677
-26679.68,2010,3,1087298.301,-0.02453759
-25875.6952,2010,4,1060618.621,-0.024396795
-20210.892,2010,5,1034742.926,-0.019532283
-16801.6512,2010,6,1014532.034,-0.016560986
3608.7128,2010,7,997730.3824,0.003616922
-26315.1312,2010,8,1001339.095,-0.02627994
-21094.6824,2010,9,975023.964,-0.02163504
-10633.7536,2010,10,953929.2816,-0.011147319
3656.2368,2010,11,943295.528,0.003876025
18067.4048,2010,12,946951.7648,0.019079541
28980.3552,2011,1,965019.1696,0.03003086
18224.712,2011,2,993999.5248,0.018334729
-23792.944,2011,3,1012224.237,-0.023505606
25943.8944,2011,4,988431.2928,0.026247545
-8765.4696,2011,5,1014375.187,-0.00864125
18478.8744,2011,6,1005609.718,0.018375791
38079.072,2011,7,1024088.592,0.037183377
44432.2712,2011,8,1062167.664,0.041831693
10661.0328,2011,9,1106599.935,0.009634044
28819.2288,2011,10,1117260.968,0.025794536
32751.1536,2011,11,1146080.197,0.028576668
-9053.9464,2011,12,1178831.35,-0.007680442
-613.0648,2012,1,1169777.404,-0.000524087
-21746.1672,2012,2,1169164.339,-0.018599752
21135.2536,2012,3,1147418.172,0.018419835
10565.1496,2012,4,1168553.426,0.009041221
28277.9768,2012,5,1179118.575,0.023982301
-19854.9888,2012,6,1207396.552,-0.016444464
-11683.836,2012,7,1187541.563,-0.009838675
-12781.1112,2012,8,1175857.727,-0.010869607
705.0304,2012,9,1163076.616,0.000606177
-11067.632,2012,10,1163781.646,-0.009510059
2111.3504,2012,11,1152714.014,0.001831634
2202.0672,2012,12,1154825.365,0.00190684
2847.6704,2013,1,1157027.432,0.002461195
32396.6728,2013,2,1159875.102,0.027931174
49230.1808,2013,3,1192271.775,0.041291073
-43678.64,2013,4,1241501.956,-0.035182095
146.4152,2013,5,1197823.316,0.000122234
-35831.5208,2013,6,1197969.731,-0.029910205
-4677.544,2013,7,1162138.21,-0.004024946
-17213.448,2013,8,1157460.666,-0.014871735
5299.7624,2013,9,1140247.218,0.004647906
25756.0864,2013,10,1145546.981,0.022483658
-4486.3256,2013,11,1171303.067,-0.003830201
14974.8728,2013,12,1166816.742,0.012833954
-10580.7488,2014,1,1181791.614,-0.008953143
10938.1648,2014,2,1171210.866,0.009339193
4897.3584,2014,3,1182149.03,0.004142759
5067.056,2014,4,1187046.389,0.004268625
-11593.8376,2014,5,1192113.445,-0.009725448
15897.1104,2014,6,1180519.607,0.013466198
16668.5224,2014,7,1196416.718,0.013932037
1912.7624,2014,8,1213085.24,0.001576775
-15121.5712,2014,9,1214998.002,-0.012445758
29776.4904,2014,10,1199876.431,0.024816297
2333.116,2014,11,1229652.922,0.001897378
42005.5072,2014,12,1231986.038,0.034095766
16282.3624,2015,1,1273991.545,0.012780589
-7130.7872,2015,2,1290273.907,-0.005526569
21915.4424,2015,3,1283143.12,0.0170795
25504.68,2015,4,1305058.562,0.019542939
17212.132,2015,5,1330563.242,0.012935974
37601.96,2015,6,1347775.374,0.027899278
66571.956,2015,7,1385377.334,0.048053302
34455.9856,2015,8,1451949.29,0.023730846
51283.4032,2015,9,1486405.276,0.034501629
41293.5848,2015,10,1537688.679,0.026854321
55748.8056,2015,11,1578982.264,0.035306797
-3410.4832,2015,12,1634731.07,-0.002086266
1292.4944,2016,1,1631320.586,0.000792299
-9179.064,2016,2,1632613.081,-0.005622314
-998.6168,2016,3,1623434.017,-0.000615126
-37422.2144,2016,4,1622435.4,-0.023065457
-3815.7864,2016,5,1585013.186,-0.002407416
,,,1581197.399,
